                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4276,                 1.0756,                0.98356,                0.32682,                0.25356,                0.22922,                0.12756,                 1.5608,                 1.2806,                 1.1465,               0.007756,               0.007756,               0.007756
                     36,                 1.4284,                 1.0747,                0.98506,                 0.3429,                0.26192,                0.23245,                 0.1294,                 1.5639,                 1.2617,                 1.1533,                0.00769,                0.00769,                0.00769
                     37,                 1.4218,                 1.0705,                0.98294,                0.35069,                0.26133,                0.23429,                0.12941,                 1.5733,                  1.255,                 1.1505,               0.007624,               0.007624,               0.007624
                     38,                 1.4247,                 1.0667,                0.98005,                0.32724,                0.26442,                0.23317,                 0.1296,                 1.5525,                 1.2447,                 1.1386,               0.007558,               0.007558,               0.007558
                     39,                 1.4075,                  1.054,                0.98012,                 0.3388,                0.25746,                0.23475,                0.13122,                 1.5342,                 1.2489,                 1.1311,               0.007492,               0.007492,               0.007492
                     40,                 1.4101,                  1.056,                0.97845,                0.35562,                0.25444,                0.23415,                0.13047,                 1.5501,                 1.2505,                 1.1399,               0.007426,               0.007426,               0.007426
                     41,                 1.4104,                 1.0522,                0.97673,                0.36706,                0.25769,                0.23777,                0.13328,                 1.5359,                 1.2377,                 1.1347,                0.00736,                0.00736,                0.00736
                     42,                 1.4091,                 1.0497,                0.97595,                0.35599,                0.26467,                0.24299,                  0.136,                 1.5291,                  1.232,                 1.1351,               0.007294,               0.007294,               0.007294
                     43,                 1.3939,                  1.039,                0.97391,                0.34301,                0.26042,                0.23752,                0.13256,                 1.5326,                 1.2385,                 1.1298,               0.007228,               0.007228,               0.007228
                     44,                 1.3958,                 1.0365,                0.97572,                 0.3548,                0.26114,                0.24048,                0.13468,                 1.5185,                 1.2268,                 1.1256,               0.007162,               0.007162,               0.007162
                     45,                 1.3954,                 1.0376,                0.97629,                 0.3368,                0.26484,                0.23861,                 0.1339,                 1.5206,                 1.2194,                 1.1253,               0.007096,               0.007096,               0.007096
                     46,                 1.3866,                 1.0312,                0.97136,                0.35115,                0.26562,                0.24238,                0.13618,                  1.516,                 1.2192,                 1.1247,                0.00703,                0.00703,                0.00703
                     47,                 1.3961,                 1.0311,                 0.9707,                0.33487,                0.27127,                0.24551,                0.13762,                 1.5149,                 1.2115,                 1.1214,               0.006964,               0.006964,               0.006964
                     48,                 1.3838,                 1.0235,                0.97171,                 0.3525,                0.27031,                0.24665,                0.13798,                 1.5137,                 1.2134,                 1.1175,               0.006898,               0.006898,               0.006898
                     49,                 1.3748,                 1.0128,                 0.9704,                 0.3519,                0.26787,                0.25013,                0.14141,                 1.5048,                  1.192,                 1.1198,               0.006832,               0.006832,               0.006832
                     50,                 1.3751,                 1.0114,                0.96826,                0.34061,                0.27021,                0.24765,                 0.1391,                 1.5172,                 1.1998,                 1.1184,               0.006766,               0.006766,               0.006766
                     51,                 1.3714,                  1.011,                0.96735,                0.34963,                0.27529,                0.25224,                0.14155,                 1.5066,                 1.1941,                 1.1151,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.3725,                  1.007,                0.96768,                0.36065,                0.27283,                0.25076,                0.14069,                 1.5073,                 1.1955,                 1.1154,               0.006634,               0.006634,               0.006634
                     53,                 1.3648,                 1.0034,                0.96862,                0.36654,                 0.2699,                0.25256,                 0.1426,                 1.4931,                 1.1833,                 1.1094,               0.006568,               0.006568,               0.006568
                     54,                 1.3755,                 1.0131,                0.96493,                0.34958,                0.27116,                0.25104,                0.14143,                  1.494,                 1.1822,                  1.111,               0.006502,               0.006502,               0.006502
                     55,                 1.3686,                 1.0034,                0.96683,                0.35224,                0.27352,                0.25308,                0.14283,                 1.4983,                  1.183,                 1.1073,               0.006436,               0.006436,               0.006436
                     56,                 1.3679,                 1.0041,                0.96587,                0.35462,                0.27735,                0.25355,                0.14264,                 1.5008,                 1.1781,                 1.1103,                0.00637,                0.00637,                0.00637
                     57,                 1.3627,                0.99454,                0.96186,                0.35088,                0.27749,                0.25409,                0.14295,                 1.4911,                 1.1806,                 1.1058,               0.006304,               0.006304,               0.006304
                     58,                 1.3606,                0.99441,                0.96371,                0.34859,                0.27274,                0.25524,                0.14368,                 1.4926,                 1.1721,                 1.1021,               0.006238,               0.006238,               0.006238
                     59,                 1.3542,                0.98875,                0.95975,                0.36526,                0.27848,                0.25671,                 0.1446,                 1.4913,                 1.1658,                 1.1008,               0.006172,               0.006172,               0.006172
                     60,                 1.3488,                0.98205,                0.96101,                0.35158,                0.27743,                0.25568,                0.14408,                  1.486,                 1.1691,                 1.0968,               0.006106,               0.006106,               0.006106
                     61,                 1.3535,                0.98347,                0.96012,                0.36026,                 0.2812,                0.25929,                0.14595,                 1.4872,                 1.1609,                 1.0985,                0.00604,                0.00604,                0.00604
                     62,                 1.3493,                0.98245,                0.96062,                 0.3523,                0.27534,                0.25578,                0.14382,                 1.4846,                 1.1636,                 1.0958,               0.005974,               0.005974,               0.005974
                     63,                 1.3478,                0.98207,                0.95753,                0.36469,                0.27505,                0.25795,                0.14529,                 1.4801,                 1.1575,                 1.0934,               0.005908,               0.005908,               0.005908
                     64,                 1.3456,                0.97487,                0.95931,                0.37267,                0.27626,                0.25985,                 0.1469,                 1.4796,                 1.1517,                 1.0949,               0.005842,               0.005842,               0.005842
                     65,                 1.3423,                 0.9712,                0.95913,                 0.3507,                0.28755,                 0.2595,                0.14681,                 1.4786,                 1.1538,                 1.0936,               0.005776,               0.005776,               0.005776
                     66,                  1.335,                0.96535,                0.95758,                 0.3717,                0.27579,                0.25817,                0.14639,                 1.4765,                 1.1507,                 1.0912,                0.00571,                0.00571,                0.00571
                     67,                 1.3368,                0.96415,                0.95691,                0.36929,                0.27958,                 0.2613,                0.14771,                 1.4729,                 1.1499,                  1.087,               0.005644,               0.005644,               0.005644
                     68,                 1.3387,                0.96436,                0.95713,                0.37133,                0.28291,                0.26108,                0.14755,                 1.4726,                 1.1523,                 1.0897,               0.005578,               0.005578,               0.005578
                     69,                  1.328,                0.95863,                0.95404,                0.36105,                0.28123,                0.25988,                0.14689,                 1.4761,                 1.1541,                 1.0896,               0.005512,               0.005512,               0.005512
                     70,                 1.3327,                0.96003,                0.95409,                0.37486,                0.28173,                0.26212,                0.14853,                  1.471,                 1.1479,                 1.0909,               0.005446,               0.005446,               0.005446
                     71,                 1.3325,                0.95479,                0.95484,                0.38238,                0.28073,                0.26299,                0.14892,                 1.4742,                 1.1465,                 1.0902,                0.00538,                0.00538,                0.00538
                     72,                 1.3313,                0.95927,                0.95763,                0.36786,                0.27887,                0.26145,                0.14796,                 1.4707,                 1.1439,                 1.0913,               0.005314,               0.005314,               0.005314
                     73,                 1.3263,                0.95483,                0.95382,                 0.3775,                0.27826,                0.26292,                0.14862,                 1.4709,                   1.14,                 1.0897,               0.005248,               0.005248,               0.005248
                     74,                 1.3245,                 0.9482,                0.95275,                0.37011,                0.28184,                 0.2625,                0.14898,                  1.469,                  1.141,                 1.0873,               0.005182,               0.005182,               0.005182
                     75,                  1.331,                0.95541,                0.95407,                0.37315,                0.27865,                0.26219,                0.14888,                 1.4683,                 1.1386,                 1.0853,               0.005116,               0.005116,               0.005116
                     76,                 1.3173,                0.93952,                0.94959,                0.36799,                0.28977,                0.26404,                0.14967,                 1.4666,                  1.135,                 1.0827,                0.00505,                0.00505,                0.00505
                     77,                 1.3183,                0.93889,                 0.9501,                0.36117,                0.28903,                0.26401,                 0.1501,                 1.4626,                 1.1333,                 1.0827,               0.004984,               0.004984,               0.004984
                     78,                 1.3147,                0.93587,                0.94941,                0.37697,                0.28694,                0.26639,                0.15089,                 1.4648,                 1.1341,                 1.0827,               0.004918,               0.004918,               0.004918
                     79,                 1.3116,                0.93881,                0.94983,                0.38079,                0.28488,                0.26772,                0.15197,                 1.4618,                 1.1318,                 1.0836,               0.004852,               0.004852,               0.004852
